Issue Name Contains - SemRush,Issue Type - SemRush,Issue category - SemRush,Issue description - SemRush,How to fix - SemRush,Issue Name - ScreamingFrog,Issue Type - ScreamingFrog,Issue Priority - ScreamingFrog,Description ScreamingFrog,How To Fix - ScreamingFrog,sf_config_file,sf_export_tabs
NA,NA,NA,NA,NA,H1: Alt Text in H1,Warnings,Low,"Pages which have image alt text within an <h1>. This can be because text within the image is considered as the main heading on the page, or due to inappropriate mark-up. Some CMS templates will automatically include an <h1> around a logo across a website. While there are strong arguments that text rather than alt text should be used for headings, search engines may understand alt text within an <h1> as part of the <h1> and score accordingly.",Review whether the use of image alt text within the <h1> is appropriate for the website and consider using on-page text instead.,default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,H1: Non-Sequential,Warnings,Low,"Pages with an <h1> that is not the first heading on the page. Heading elements should be in a logical sequentially-descending order. The purpose of heading elements is to convey the structure of the page and they should be in logical order from <h1> to <h6>, which helps navigating the page and users that rely on assistive technologies.","Ensure the <h1> is the first heading on the page. Headings should be in a logical sequential order from <h1> to <h6>. Review and update page heading levels so they are descending in order, for example the first heading level should be an <h1>, and this should be followed by an <h2>.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,H1: Duplicate,Opportunity,Low,"Pages which have duplicate <h1>s. It's important to have distinct, unique and useful main headings. If every page has the same <h1>, then it can make it more challenging for users and the search engines to understand one page from another.","Update duplicate <h1>s as necessary, so important pages contain a unique and descriptive <h1> for users and search engines. If these are duplicate pages, then fix the duplicated pages by linking to a single version, and redirect or use canonicals where appropriate.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,H1: Over 70 Characters,Opportunity,Low,"Pages which have <h1>s over the configured length. There is no hard limit for characters in an <h1>, however they should be clear and concise for users and long headings might be less helpful","Write concise <h1>s for users, including target keywords where natural for users - without keyword stuffing.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,H2: Missing,Warnings,Low,"Pages which have a missing <h2>, the content is empty or has a whitespace. The <h2> heading is often used to describe sections or topics within a document. They act as signposts for the user, and can help search engines understand the page.",Consider using logical and descriptive <h2>s on important pages that help the user and search engines better understand the page.,default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,H2: Multiple,Warnings,Low,"Pages which have multiple <h2>s.

This is not an issue as HTML standards allow multiple <h2>’s when used in a logical hierarchical heading structure.

However, this filter can help you quickly scan to review if they are used appropriately.","Ensure <h2>s are used in a logical hierarchical heading structure, and update where appropriate utilising the full heading rank between (h3 – h6) for additional headings.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,H2: Non-Sequential,Warnings,Low,"Pages with an <h2> that is not the second heading level after the <h1> on the page. Heading elements should be in a logical sequentially-descending order. The purpose of heading elements is to convey the structure of the page and they should be in logical order from <h1> to <h6>, which helps navigating the page and users that rely on assistive technologies.","Ensure the <h2> is the second heading on the page. Headings should be in a logical sequential order from <h1> to <h6>. Review and update page heading levels so they are descending in order, for example the heading element following an <h1> should be an <h2>, rather than an <h3>.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,H2: Duplicate,Opportunity,Low,"Pages which have duplicate <h2>s.

It’s important to have distinct, unique and useful pages. If every page has the same <h2>, then it can make it more challenging for users and the search engines to understand one page from another.","Update duplicate <h2>s as necessary, so important pages contain a unique and descriptive <h2> for users and search engines.

If these are duplicate pages, then fix the duplicated pages by linking to a single version, and redirect or use canonicals where appropriate.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,H2: Over 70 Characters,Opportunity,Low,"Pages which have <h2>s over 70 characters in length.

There is no hard limit for characters in an <h2>, however they should be clear and concise for users and long headings might be less helpful.","Write concise <h2>s for users, including target keywords where natural for users – without keyword stuffing.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Images: Missing Alt Text,Issue,Low,"Images that have an alt attribute, but are missing alt text. Click the address of the image and then the 'Image Details' tab in the lower window pane to view which pages have the image on them, and are missing alt text. Images should have descriptive alternative text about its purpose, which helps the blind and visually impaired, and the search engines understand it and its relevance to the web page.","Include descriptive alt text for images to help users and the search engines understand them better. Where possible, decorative images should be provided using CSS background images or alternatively a null (empty) alt text should be provided (alt="""") so that they can be ignored by assistive technologies, such as screen readers.",default_config.seospiderconfig,Internal:All
Missing ALT attributes,Warnings,"Meta tags, Indexability","Alt attributes within <img> tags are used by search engines to understand the contents of your images. If you neglect alt attributes, you may miss the chance to get a better placement in search results because alt attributes allow you to rank in image search results.
Not using alt attributes also negatively affects the experience of visually impaired users and those who have disabled images in their browsers.
For more information, please see these articles: Using ALT attributes smartly and Google Image Publishing Guidelines","Specify ‪‬‬a relevant alternative attribute inside an <img> tag for each image on your website, e.g., ""<img src=""mylogo.png"" alt=""This is my company logo"">"".",Images: Missing Alt Attribute,Issue,Low,"Images that are missing an alt attribute all together. Click the address (URL) of the image and then the 'Image Details' tab in the lower window pane to view which pages have the image on, and are missing alt attributes. All images should contain an alt attribute with descriptive text, or blank when it's a decorative image.","Include alt attributes with descriptive alt text for images to help users and the search engines understand them better. Where possible, decorative images should be provided using CSS background images or alternatively a null (empty) alt text should be provided (alt="""") so that they can be ignored by assistive technologies, such as screen readers.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Images: Background Images,Warnings,Low,"CSS background and dynamically loaded images discovered across the website, which should be used for non-critical and decorative purposes.

Background images are not typically indexed by Google and browsers do not provide alt attributes or text on background images to assistive technology.","Review CSS background images discovered and ensure they are correctly used for decorative images and styling.

If the image contains information critical to understanding the page’s overall purpose or are important for indexing, then Google recommended using <img> tags.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Images: Over 100 kb,Opportunity,Medium,"Large images over a size threshold. Page speed is extremely important for users and SEO and often large resources such as images are one of the most common issues that slow down web pages. This filter simply acts as a general rule of thumb to help identify images that are fairly large in file size and may take longer to load. These should be considered for optimisation, alongside opportunities identified in the PageSpeed tab which uses the PSI API and Lighthouse to audit speed. This can help identify images that haven't been optimised in size, load offscreen, are unoptimised etc.","Uncompressed images bloat pages with unnecessary bytes, so ensure images are optimised with compression, properly scaled, and using the best image format to reduce file size where possible.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Images: Alt Text Over 100 Characters,Opportunity,Low,"Images which have one instance of alt text over a threshold of characters in length. This is not strictly an issue, however image alt text should be concise and descriptive. It should not be used to stuff lots of keywords or paragraphs of text onto a page.",Write concise alt text that's helpful for users and search engines - without keyword stuffing.,default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Images: Incorrectly Sized Images,Opportunity,Low,"Images identified where their real dimensions (WxH) do not match the display dimensions when rendered.

If there is an estimated 4kb file size difference or more, the image is flagged for potential optimisation.

In particular, this can help identify oversized images, which can contribute to poor page load speed. It can also help identify smaller sized images, that are being stretched when rendered.","Ideally images should not be larger than the version that’s rendered on the user’s screen. Anything larger than that results in wasted bytes and slows down page load time.

Use responsive images to serve appropriately sized images for all viewports.

For any images that are smaller than the rendered version, provide appropriately-sized versions to avoid stretched images for users.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Images: Missing Size Attributes,Opportunity,Low,Image elements without dimensions (width and height size attributes) specified in the HTML. This can cause large layout shifts as the page loads and be frustrating experience for users. It is one of the major reasons that contributes to a high Cumulative Layout Shift (CLS).,"Define all image sizes as their native size using width and height attributes in the HTML. This allows the browser to calculate enough space for each image before it loads, avoiding large layout shifts.",default_config.seospiderconfig,Internal:All
Broken external links,Warnings,"HTTP Status, Crawlability",A broken external image is an image that can't be displayed because it no longer exists or because its URL is misspelled. Having too many broken external images negatively affects user experience and may be a signal to search engines that your website is poorly coded or maintained.,"To fix a broken external image, perform one of the following:
- If an image was deleted or damaged, replace it with a new one
- If an image is no longer needed, simply remove it from your page's code
- If an image moved to a different location and you know its new address, change its URL",NA,NA,NA,NA,NA,default_config.seospiderconfig,Internal:All
Broken internal images,Error,"HTTP Status, Crawlability","An internal broken image is an image that can't be displayed because it no longer exists, its URL is misspelled, or because the file path is not valid. Broken images may jeopardize your search rankings because they provide a poor user experience and signal to search engines that your page is low quality.","To fix a broken internal image, perform one of the following:
- If an image is no longer located in the same location, change its URL
- If an image was deleted or damaged, replace it with a new one
- If an image is no longer needed, simply remove it from your page's code",NA,NA,NA,NA,NA,default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Links: Outlinks To Localhost,Issue,High,"Pages that contain links that reference localhost or the 127.0.0.1 loopback address.

Localhost is the address of the local computer, which is used in development to view a site in a browser without being connected to the internet.

These links will not work for users on a live website.",Review the ‘Outlinks’ tab for the localhost and/or 127.0.0.1 loopback address links and update them to the correct publicly available URL address.,default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Links: Pages Without Internal Outlinks,Warnings,High,"Pages that do not contain links to other internal pages. This can mean there are no links to other pages. However, it is also often due to the use of JavaScript, where links are not present in the raw HTML and are only in the rendered HTML after JavaScript has been processed. Enable JavaScript rendering mode ('Config > Spider > Rendering') to crawl pages with links that are only client-side in the rendered HTML. If there are no links that use an <a> tag with an href attribute to other internal pages, the search engines and the SEO Spider will have trouble discovering and indexing them.","Review the pages and whether there are links in the raw or rendered HTML. Switch to JavaScript rendering mode if links are only in the rendered HTML. While Google is able to render pages and see client-side only links, consider including important links server side in the raw HTML. For pages that simply don't link to any other internal pages, consider linking to other pages to help users continue in their journey and pass PageRank onwards.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Links: Non-Indexable Page Inlinks Only,Warnings,High,"Indexable pages that are only linked to from pages that are non-indexable, which includes noindex, canonicalised or robots.txt disallowed pages. Pages with noindex and links from them will initially be crawled, but noindex pages will be removed from the index and be crawled less over time. Links from these pages may also be crawled less and it has been debated by Googlers whether links will continue to be counted at all. Links from canonicalised pages can be crawled initially, but PageRank may not flow as expected if indexing and link signals are passed to another page as indicated in the canonical. This may impact discovery and ranking. Robots.txt pages can't be crawled, so links from these pages will not be seen. Robots.txt disallowed pages will only be reported here if 'ignore robots.txt but report status' is selected via 'Config > Robots.txt > Settings'. The pages that are non-indexable and link to the pages in this issue can be viewed via the 'Inlinks' tab. Export in bulk via 'Bulk Export > Links > Non-Indexable Page Inlinks Only'.","Ensure you link to important pages from indexable pages to avoid any uncertainty in discovery, indexing and ranking. Consider whether the non-indexable pages linking to these pages should be non-indexable.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Links: Internal Nofollow Outlinks,Warnings,Low,"Pages that use rel=""nofollow"" on internal outlinks. Links with nofollow link attributes will generally not be followed by search engines. Remember that the linked pages may be found through other means, such as other followed links, or XML Sitemaps etc. Nofollow outlinks can be seen in the 'Outlinks' tab with the 'All Link Types' filter set to 'Hyperlinks', where the 'Follow' column is 'False'. Export in bulk via 'Bulk Export > Links > Internal Nofollow Outlinks'.","Review the use of rel=""nofollow"" on internal links. These might be valid to URLs that ideally wouldn't be crawled, or they could be by mistake. Remove the nofollow link attribute to important URLs you wish to be crawled, indexed and receive PageRank.",default_config.seospiderconfig,Internal:All
Too many on-page links,Warnings,"Links, Crawlability","This issue is triggered if a webpage contains more than 3,000 links. As a rule, search engines process as many on-page links as they consider necessary for a particular website. However, placing more than 3,000 links on a webpage can make your page look low-quality and even spammy to search engines, which may cause your page to drop in rankings or not to show up in search results at all. Having too many on-page links is also bad for user experience.","Review all pages that contain more than 3,000 links and delete unnecessary links.
You can also use the Internal Linking report to check your internal linking.",Links: Pages With High External Outlinks,Warnings,Low,"Pages that have a high number of followed external outlinks on them based upon the 'High External Outlinks' preferences under 'Config > Spider > Preferences'. External outlinks are hyperlinks to another subdomain or domain (depending on your configuration). This might be completely valid, such as linking to another part of the same root domain, or linking to other useful websites. External followed outlinks can be seen in the 'Outlinks' tab, with the 'All Link Types' filter set to 'Hyperlinks' where the 'Follow' column is 'True'.","Review followed external outlinks to ensure they are to credible, trusted and relevant websites that are useful to your users.",default_config.seospiderconfig,Internal:All
Too many on-page links,Warnings,"Links, Crawlability","This issue is triggered if a webpage contains more than 3,000 links. As a rule, search engines process as many on-page links as they consider necessary for a particular website. However, placing more than 3,000 links on a webpage can make your page look low-quality and even spammy to search engines, which may cause your page to drop in rankings or not to show up in search results at all. Having too many on-page links is also bad for user experience.","Review all pages that contain more than 3,000 links and delete unnecessary links.
You can also use the Internal Linking report to check your internal linking.",Links: Pages With High Internal Outlinks,Warnings,Low,"Pages that have a high number of followed internal outlinks on them based upon the ‘High Internal Outlinks’ preferences under ‘Config > Spider > Preferences’.

Internal outlinks are hyperlinks to the same subdomain or domain (depending on your configuration).

Links are used by users to navigate a website, while the search engines use them to discover and rank pages. Too many links can reduce usability, and reduce the amount of PageRank distributed to each page.",Review followed internal outlinks to ensure they provide great usability to users navigating the website and unimportant pages are not being linked to unnecessarily.,default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Links: Follow & Nofollow Internal Inlinks To Page,Warnings,Low,"Pages that have both rel=""nofollow"" and follow links to them from other pages. Links marked with nofollow link attributes will generally not be followed by search engines. Links without a nofollow link attribute will generally be followed. So inconsistent use of links that are follow and nofollow might be a sign of an issue or mistake, or something that can be ignored. Nofollow and follow inlinks can be seen in the 'Inlinks' tab with the 'All Link Types' filter set to 'Hyperlinks', where the 'Follow' column is 'True' and 'False'. Export in bulk via 'Bulk Export > Links > Follow & Nofollow Internal Inlinks To Page'.","Review the consistency of the use of rel=""nofollow"" on internal links. These might be valid to URLs that ideally wouldn't be crawled, or they could be by mistake. Remove the nofollow link attribute to important URLs you wish to be crawled, indexed and receive PageRank. Add nofollow to any links that are incorrectly missing it.",default_config.seospiderconfig,Internal:All
NA,NA,NA,NA,NA,Links: Internal Nofollow Inlinks Only,Warnings,Low,"Pages that only have rel=""nofollow"" links to them from other pages. Links marked with nofollow link attributes will generally not be followed by search engines, so this can impact discovery and indexing of a page. Nofollow inlinks can be seen in the 'Inlinks' tab with the 'All Link Types' filter set to 'Hyperlinks', where the 'Follow' column is 'False'. Export in bulk via 'Bulk Export > Links > Internal Nofollow Inlinks Only'.","Review the use of rel=""nofollow"" on internal links to pages. These might be valid to URLs that ideally wouldn't be crawled, or they could be by mistake. Remove the nofollow link attribute to important URLs you wish to be crawled, indexed and receive PageRank.",default_config.seospiderconfig,Internal:All
Page crawl depth,Notices,"Links, Crawlability","A page's crawl depth is the number of clicks required for users and search engine crawlers to reach it via its corresponding homepage. From an SEO perspective, an excessive crawl depth may pose a great threat to your optimization efforts, as both crawlers and users are less likely to reach deep pages.
For this reason, pages that contain important content should be no more than 3 clicks away from your homepage.","Make sure that pages with important content can be reached within a few clicks.
If any of them are buried too deep in your site, consider changing your internal link architecture.",Links: Pages With High Crawl Depth,Opportunity,Medium,"Pages that have a high crawl depth from the start page of the crawl based upon the 'Crawl Depth' preferences under 'Config > Spider > Preferences'. Broadly, pages that are linked directly from popular pages, such as the homepage, are passed more PageRank which can help them perform better organically. Pages much deeper in the website can often be passed less PageRank, and subsequently may not perform as well. This is important for key pages that are targeting broader more competitive queries, which may benefit from improved linking and reduced crawl depth. Unimportant pages, pages that target less competitive queries, or pages on large websites will often naturally sit deeper without issue. Most importantly, consider the user, which pages are important for them to navigate to, and their journey to reach the page.",Review pages that are deeper in the website with a high crawl depth. Improve website structure and internal linking to key pages that may benefit where appropriate.,default_config.seospiderconfig,Internal:All
Links with no anchor text,Notices,"Links, Crawlability","This issue is triggered if a link (either external or internal) on your website has an empty or naked anchor (i.e., anchor that uses a raw URL), or anchor text only contains symbols. Although a missing anchor doesn't prevent users and crawlers from following a link, it makes it difficult to understand what the page you're linking to is about. Also, Google considers anchor text when indexing a page. So, a missing anchor represents a lost opportunity to optimize the performance of the linked-to page in search results.","Use anchor text for your links where it is necessary. The link text must give users and search engines at least a basic idea of what the target page is about. Also, use short but descriptive text. For more information, please see the ""Use link wisely"" section in Google's SEO Starter Guide.",Links: Internal Outlinks With No Anchor Text,Opportunity,Low,"Pages that have internal links without anchor text or images that are hyperlinked without alt text. Anchor text is the visible text and words used in hyperlinks that provide users and search engines context about the content of the target page. Internal outlinks without anchor text can be seen in the 'Outlinks' tab, with the 'All Link Types' filter set to 'Hyperlinks', where the 'Anchor Text' column is blank, or if an image, the 'Alt Text' column is also blank. Export in bulk via 'Bulk Export > Links > Internal Outlinks With No Anchor Text'.",Review the missing anchor text outlinks and where appropriate include useful and descriptive anchor text to help users and search engines.,default_config.seospiderconfig,Internal:All
Links with non-descriptive anchor text,Notices,"Links, Indexability","This issue is triggered if a non-descriptive anchor text is used for a link (either internal or external). An anchor is considered to be non-descriptive if it doesn’t give any idea of what the linked-to page is about, for example, “click here”, “right here”, etc. This type of anchor provides little value to users and search engines as it doesn't provide any information about the target page. Also, such anchors will offer little in terms of the target page’s ability to be indexed by search engines, and as a result, rank for relevant search requests. For more information on the criteria used to trigger this check, refer to “What are unoptimized anchors and how does Site Audit identify them?”.","To let users and search engines understand the meaning of the linked-to page, use a succinct anchor text that describes the page’s content. For best practices on how to optimize your anchor text, refer to the “Write good link text” section in Google’s Search Engine Optimization (SEO) Starter Guide.",Links: Non-Descriptive Anchor Text In Internal Outlinks,Opportunity,Low,"Pages that have internal outlinks with anchor text that is not descriptive, such as 'click here' or 'learn more' based upon the preferences under 'Config > Spider > Preferences'. Anchor text is the visible text and words used in hyperlinks that provide users and search engines context about the content of the target page. Internal outlinks with non-descriptive anchor text can be seen in the 'Outlinks' tab, with the 'All Link Types' filter set to 'Hyperlinks', where the 'Anchor Text' column has words such as 'click here', or 'learn more'. Export in bulk via 'Bulk Export > Links > Non-Descriptive Anchor Text In Internal Outlinks'.",Review the non-descriptive anchor text in outlinks and where appropriate update them to include useful and descriptive anchor text to help provide context to both users and search engines.,default_config.seospiderconfig,Internal:All
Broken internal links,Error,"HTTP Status, Links, Crawlability","Broken internal links lead users from one website to another and bring them to non-existent webpages. Multiple broken links negatively affect user experience and may worsen your search engine rankings because crawlers may think that your website is poorly maintained or coded.
Please note that our crawler may detect a working link as broken. Generally, this happens if the server hosting the website you're referring to blocks our crawler from accessing this website.","Please follow all links reported as broken. If a target webpage returns an error, remove the link leading to the error page or replace it with another resource.
If the links reported as broken do work when accessed with a browser, you should contact the website's owner and inform them about the issue.",NA,NA,NA,NA,NA,default_config.seospiderconfig,Internal:All
Malformed links,Error,"Links, Crawlability","This issue is reported when SiteAuditBot fails to crawl a link because of an invalid link's URL.
Common mistakes include the following:
- Invalid URL syntax (e.g., no or an invalid protocol is specified, backslashes (\) are used)
- Spelling mistakes
- Unnecessary additional characters",Make sure the link's URL conforms to a standard scheme and doesn't have any unnecessary characters or typos.,NA,NA,NA,NA,NA,default_config.seospiderconfig,Internal:All
Broken external links,Warnings,"HTTP Status, Links, Crawlability","Broken external links lead users from one website to another and bring them to non-existent webpages. Multiple broken links negatively affect user experience and may worsen your search engine rankings because crawlers may think that your website is poorly maintained or coded.
Please note that our crawler may detect a working link as broken. Generally, this happens if the server hosting the website you're referring to blocks our crawler from accessing this website.","Please follow all links reported as broken. If a target webpage returns an error, remove the link leading to the error page or replace it with another resource.
If the links reported as broken do work when accessed with a browser, you should contact the website's owner and inform them about the issue.",NA,NA,NA,NA,NA,default_config.seospiderconfig,Internal:All
Warning - Too long URLs,Warnings,"Links, Crawlability","This issue is triggered if your link URL is longer than 2,000 characters. Although theoretically there is no character limit for your URLs, it is still recommended that you keep their length under 2,000 characters. This is important because some browsers cannot handle URLs exceeding this limit. Moreover, keeping URLs at a reasonable length will make their crawling much easier, while extremely long URLs may be ignored by search engines.","Try to keep your link URLs shorter than 2,000 characters. For more information, please see this article.",NA,NA,NA,NA,NA,default_config.seospiderconfig,Internal:All
Pages with only one internal link,Notices,"Links, Crawlability","Having very few incoming internal links means very few visits, or even none, and fewer chances of placing in search results. It is a good practice to add more incoming internal links to pages with useful content. That way, you can rest assured that users and search engines will never miss them.",Add more incoming internal links to pages with important content.,NA,NA,NA,NA,NA,default_config.seospiderconfig,Internal:All
Nofollow attributes in external links,Notices,Crawlability,"A nofollow attribute is an element in an <a> tag that tells crawlers not to follow the link. ""Nofollow"" links don’t pass any link juice or anchor texts to referred webpages. The unintentional use of nofollow attributes may have a negative impact on the crawling process and your rankings.","Make sure you haven’t used nofollow attributes by mistake. Remove them from <a> tags, if needed. For more information, please see this Google article.",NA,NA,NA,NA,NA,default_config.seospiderconfig,Internal:All
